Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD
1287111016,Toronto Waterfront Marathon,"October 16, 2011",Toronto,ON,3858,2482,1376,2:09:48,2:22:40,4:13:04,0:45:57
1287100926,Toronto Waterfront Marathon,"September 26, 2010",Toronto,ON,2667,1654,1013,2:07:57,2:22:40,4:10:01,0:43:58
1287090927,Toronto Waterfront Marathon,"September 27, 2009",Toronto,ON,2846,1782,1064,2:08:30,2:28:28,4:16:29,0:44:43
1287080928,Toronto Waterfront Marathon,"September 28, 2008",Toronto,ON,2457,1520,937,2:11:00,2:29:05,4:15:18,0:43:50
1287070930,Toronto Waterfront Marathon,"September 30, 2007",Toronto,ON,2040,1348,692,2:09:29,2:33:15,4:11:59,0:46:56
1287060924,Toronto Waterfront Marathon,"September 24, 2006",Toronto,ON,1841,1162,679,2:10:14,2:34:31,4:13:13,0:46:24
1287050925,Toronto Waterfront Marathon,"September 25, 2005",Toronto,ON,2030,1290,740,2:11:56,2:36:30,4:17:26,0:48:41
1287040926,Toronto Waterfront Marathon,"September 26, 2004",Toronto,ON,1690,1011,679,2:14:50,2:36:31,4:14:42,0:46:16
1287030928,Toronto Waterfront Marathon,"September 28, 2003",Toronto,ON,795,515,280,2:17:50,2:36:19,4:04:12,0:39:47
1287020915,Toronto Waterfront Marathon,"September 15, 2002",Toronto,ON,581,402,179,2:25:24,2:36:56,4:05:16,0:36:53
57211002,St. George Marathon,"October 2, 2021",St. George,UT,3212,1796,1416,2:15:06,2:32:45,4:22:09,0:54:08
57191005,St. George Marathon,"October 5, 2019",St. George,UT,3966,2174,1792,2:18:07,2:34:19,4:23:46,0:56:37
57181006,St. George Marathon,"October 6, 2018",St. George,UT,3999,2195,1804,2:16:18,2:38:04,4:21:54,0:53:38
57171007,St. George Marathon,"October 7, 2017",St. George,UT,4720,2504,2216,2:14:45,2:41:16,4:22:43,0:54:45
57161001,St. George Marathon,"October 1, 2016",St. George,UT,5417,2886,2531,2:16:09,2:40:45,4:28:51,0:55:18
57151003,St. George Marathon,"October 3, 2015",St. George,UT,5462,2920,2542,2:19:30,2:43:14,4:22:11,0:53:19
57141004,St. George Marathon,"October 4, 2014",St. George,UT,5799,3074,2725,2:19:06,2:43:28,4:21:33,0:53:28
57131005,St. George Marathon,"October 5, 2013",St. George,UT,5819,3163,2656,2:15:56,2:37:08,4:16:26,0:52:40
57121006,St. George Marathon,"October 6, 2012",St. George,UT,5696,3106,2590,2:21:14,2:43:00,4:19:30,0:51:04
57111001,St. George Marathon,"October 1, 2011",St. George,UT,5700,3157,2543,2:24:43,2:44:00,4:25:14,0:51:37
57101002,St. George Marathon,"October 2, 2010",St. George,UT,5697,3240,2457,2:22:08,2:45:15,4:24:33,0:52:56
57091003,St. George Marathon,"October 3, 2009",St. George,UT,5618,3145,2473,2:21:03,2:48:29,4:15:13,0:49:42
57081004,St. George Marathon,"October 4, 2008",St. George,UT,5030,2850,2180,2:22:22,2:49:49,4:17:34,0:49:44
57071006,St. George Marathon,"October 6, 2007",St. George,UT,5155,2926,2229,2:16:42,2:36:06,4:11:42,0:49:41
57061007,St. George Marathon,"October 7, 2006",St. George,UT,4761,2731,2030,2:18:25,2:37:19,4:15:49,0:50:11
57051001,St. George Marathon,"October 1, 2005",St. George,UT,4610,2663,1947,2:22:23,2:42:58,4:19:17,0:51:16
57041002,St. George Marathon,"October 2, 2004",St. George,UT,4587,2722,1865,2:23:37,2:44:55,4:16:49,0:49:27
57031004,St. George Marathon,"October 4, 2003",St. George,UT,4433,2640,1793,2:20:35,2:40:25,4:14:16,0:47:43
57021005,St. George Marathon,"October 5, 2002",St. George,UT,4226,2506,1720,2:16:24,2:43:44,4:12:16,0:47:51
57011006,St. George Marathon,"October 6, 2001",St. George,UT,4044,2527,1517,2:20:43,2:43:58,4:12:54,0:47:08
57001007,St. George Marathon,"October 7, 2000",St. George,UT,4153,2513,1640,2:21:06,2:51:02,4:13:04,0:47:09
474211128,Seattle Marathon,"November 28, 2021",Seattle,WA,1030,713,317,2:29:32,2:56:45,4:24:37,0:50:39
474191201,Seattle Marathon,"December 1, 2019",Seattle,WA,1756,1192,564,2:33:17,3:04:00,4:24:14,0:51:33
474181125,Seattle Marathon,"November 25, 2018",Seattle,WA,1461,968,493,2:27:21,2:54:49,4:25:41,0:55:46
474171126,Seattle Marathon,"November 26, 2017",Seattle,WA,1439,900,539,2:34:04,3:05:37,4:36:56,0:59:15
474161127,Seattle Marathon,"November 27, 2016",Seattle,WA,1596,978,618,2:33:58,2:55:10,4:28:33,0:57:17
474151129,Seattle Marathon,"November 29, 2015",Seattle,WA,1716,1071,645,2:38:15,2:58:39,4:28:23,0:57:06
474141130,Seattle Marathon,"November 30, 2014",Seattle,WA,1867,1193,674,2:34:21,2:57:30,4:32:06,0:58:13
474131201,Seattle Marathon,"December 1, 2013",Seattle,WA,2205,1385,820,2:32:24,2:58:25,4:29:52,0:53:53
474121125,Seattle Marathon,"November 25, 2012",Seattle,WA,2239,1428,811,2:28:26,2:47:04,4:23:04,0:53:04
474111127,Seattle Marathon,"November 27, 2011",Seattle,WA,2047,1306,741,2:29:54,3:03:39,4:24:24,0:48:14
474101128,Seattle Marathon,"November 28, 2010",Seattle,WA,2505,1546,959,2:30:53,3:04:16,4:21:16,0:46:37
474091129,Seattle Marathon,"November 29, 2009",Seattle,WA,2229,1430,799,2:32:26,2:58:58,4:20:37,0:47:53
474081130,Seattle Marathon,"November 30, 2008",Seattle,WA,2128,1356,772,2:33:54,3:02:04,4:21:14,0:46:56
474071125,Seattle Marathon,"November 25, 2007",Seattle,WA,2012,1263,749,2:27:11,2:59:19,4:23:34,0:57:09
474061126,Seattle Marathon,"November 26, 2006",Seattle,WA,2052,1311,741,2:27:51,3:01:36,4:22:31,0:46:21
474051127,Seattle Marathon,"November 27, 2005",Seattle,WA,2248,1407,841,2:24:24,3:07:44,4:21:50,0:56:29
474041128,Seattle Marathon,"November 28, 2004",Seattle,WA,2262,1441,821,2:29:36,2:53:11,4:43:31,1:01:19
474031130,Seattle Marathon,"November 30, 2003",Seattle,WA,1975,1270,705,2:32:21,2:57:23,4:18:19,0:46:05
474021201,Seattle Marathon,"December 1, 2002",Seattle,WA,2227,1324,903,2:26:32,2:51:15,4:33:14,1:08:46
474011125,Seattle Marathon,"November 25, 2001",Seattle,WA,1669,1138,531,2:24:38,2:49:25,4:15:27,0:44:04
474001126,Seattle Marathon,"November 26, 2000",Seattle,WA,1890,1224,666,2:27:13,2:30:36,4:15:48,0:49:07
3226190609,Rock 'n' Roll Seattle Marathon,"June 9, 2019",Seattle,WA,1551,948,603,2:36:12,2:59:14,4:40:32,0:48:26
3226180610,Rock 'n' Roll Seattle Marathon,"June 10, 2018",Seattle,WA,1736,1068,668,2:33:22,3:04:08,4:34:50,0:49:24
3226170618,Rock 'n' Roll Seattle Marathon,"June 18, 2017",Seattle,WA,2441,1401,1040,2:38:55,2:45:36,4:42:00,0:52:48
3226160618,Rock 'n' Roll Seattle Marathon,"June 18, 2016",Seattle,WA,2571,1488,1083,2:26:01,2:51:45,4:33:34,0:44:15
3226150613,Rock 'n' Roll Seattle Marathon,"June 13, 2015",Seattle,WA,2037,1127,910,2:26:13,2:54:53,4:38:22,0:50:16
3226140621,Rock 'n' Roll Seattle Marathon,"June 21, 2014",Seattle,WA,2210,1207,1003,2:24:51,2:51:17,4:38:36,0:50:24
